äÓèÄì˙,äÓèÄâøäz,ëOì˙î‰,èÉéëéYëçäz,íºãﬂåàéZì˙,íºãﬂï™îzã‡,ï™îzã‡çƒìäéëäÓèÄâøäz
20170831,10000.00,0,500000000,00000000,0,10000
20170901,10005.00,5,500246499,00000000,0,10005
20170904,9995.00,-10,501994208,00000000,0,9995
20170905,9980.00,-15,506975587,00000000,0,9980
20170906,9814.00,-166,498543458,00000000,0,9814
20170907,9894.00,80,508491893,00000000,0,9894
20170908,9823.00,-71,517011035,00000000,0,9823
20170911,9811.00,-12,566396850,00000000,0,9811
20170912,10015.00,204,598981874,00000000,0,10015
20170913,10105.00,90,682388657,00000000,0,10105
20170914,10158.00,53,723203888,00000000,0,10158
20170915,10112.00,-46,779387782,00000000,0,10112
20170919,10261.00,149,807629415,00000000,0,10261
20170920,10287.00,26,869202451,00000000,0,10287
20170921,10375.00,88,898583547,00000000,0,10375
20170922,10319.00,-56,952830513,00000000,0,10319
20170925,10348.00,29,966089051,00000000,0,10348
20170926,10238.00,-110,1052648921,00000000,0,10238
20170927,10315.00,77,1085315514,00000000,0,10315
20170928,10407.00,92,1153248930,00000000,0,10407
20170929,10401.00,-6,1208253921,00000000,0,10401
20171002,10444.00,43,1249850745,00000000,0,10444
20171003,10502.00,58,1271775176,00000000,0,10502
20171004,10492.00,-10,1297791447,00000000,0,10492
20171005,10526.00,34,1340785504,00000000,0,10526
20171006,10596.00,70,1384477644,00000000,0,10596
20171010,10555.00,-41,1399755686,00000000,0,10555
20171011,10537.00,-18,1433285861,00000000,0,10537
20171012,10568.00,31,1488331251,00000000,0,10568
20171013,10537.00,-31,1521609400,00000000,0,10537
20171016,10527.00,-10,1550066920,00000000,0,10527
20171017,10559.00,32,1578352099,00000000,0,10559
20171018,10563.00,4,1607819244,00000000,0,10563
20171019,10645.00,82,1640833920,00000000,0,10645
20171020,10629.00,-16,1652205572,00000000,0,10629
20171023,10790.00,161,1693398092,00000000,0,10790
20171024,10698.00,-92,1692386571,00000000,0,10698
20171025,10767.00,69,1947803397,00000000,0,10767
20171026,10685.00,-82,1960934397,00000000,0,10685
20171027,10754.00,69,2016550764,00000000,0,10754
20171030,10802.00,48,2043881841,00000000,0,10802
20171031,10708.00,-94,2046632514,00000000,0,10708
20171101,10786.00,78,2103924482,00000000,0,10786
20171102,10820.00,34,2140284336,00000000,0,10820
20171106,10890.00,70,2174343525,00000000,0,10890
20171107,10844.00,-46,2178899894,00000000,0,10844
20171108,10844.00,0,2220707714,00000000,0,10844
20171109,10888.00,44,2251500517,00000000,0,10888
20171110,10787.00,-101,2239725914,00000000,0,10787
20171113,10807.00,20,2256335986,00000000,0,10807
20171114,10816.00,9,2266514084,00000000,0,10816
20171115,10777.00,-39,2280984701,00000000,0,10777
20171116,10681.00,-96,2305128197,00000000,0,10681
20171117,10761.00,80,2335294256,00000000,0,10761
20171120,10658.00,-103,2321590074,00000000,0,10658
20171121,10718.00,60,2344372406,00000000,0,10718
20171122,10761.00,43,2371660188,00000000,0,10761
20171124,10667.00,-94,2369655838,00000000,0,10667
20171127,10707.00,40,2385608680,00000000,0,10707
20171128,10636.00,-71,2380267185,00000000,0,10636
20171129,10802.00,166,2433755857,00000000,0,10802
20171130,10839.00,37,2443302434,00000000,0,10839
20171201,10976.00,137,2499666291,00000000,0,10976
20171204,10981.00,5,2505189605,00000000,0,10981
20171205,10940.00,-41,2505201992,00000000,0,10940
20171206,10900.00,-40,2534358313,00000000,0,10900
20171207,10903.00,3,2549056150,00000000,0,10903
20171208,11013.00,110,2578243102,00000000,0,11013
20171211,11108.00,95,2605226057,00000000,0,11108
20171212,11139.00,31,2643463423,00000000,0,11139
20171213,11140.00,1,2680869686,00000000,0,11140
20171214,11076.00,-64,2687475755,00000000,0,11076
20171215,10993.00,-83,2571619658,00000000,0,10993
20171218,11124.00,131,2617556750,00000000,0,11124
20171219,11174.00,50,2657215003,00000000,0,11174
20171220,11167.00,-7,2685797922,00000000,0,11167
20171221,11185.00,18,2737476092,00000000,0,11185
20171222,11226.00,41,2749112819,00000000,0,11226
20171225,11204.00,-22,2754740655,00000000,0,11204
20171226,11217.00,13,2766289729,00000000,0,11217
20171227,11208.00,-9,2764054215,00000000,0,11208
20171228,11221.00,13,2863834720,00000000,0,11221
20171229,11194.00,-27,2871059033,00000000,0,11194
20180104,11277.00,83,2785505449,00000000,0,11277
20180105,11334.00,57,2807968893,00000000,0,11334
20180109,11463.00,129,2903933006,00000000,0,11463
20180110,11413.00,-50,2914830069,00000000,0,11413
20180111,11300.00,-113,2951888904,00000000,0,11300
20180112,11355.00,55,2995316091,00000000,0,11355
20180115,11397.00,42,3048670844,00000000,0,11397
20180116,11391.00,-6,2857522862,00000000,0,11391
20180117,11302.00,-89,2835215374,00000000,0,11302
20180118,11510.00,208,2963757460,00000000,0,11510
20180119,11469.00,-41,2977750470,00000000,0,11469
20180122,11483.00,14,2878061759,00000000,0,11483
20180123,11599.00,116,2925386255,00000000,0,11599
20180124,11552.00,-47,2933029533,00000000,0,11552
20180125,11464.00,-88,2930347327,00000000,0,11464
20180126,11499.00,35,2969062423,00000000,0,11499
20180129,11520.00,21,2992433632,00000000,0,11520
20180130,11478.00,-42,3017844272,00000000,0,11478
20180131,11327.00,-151,2999841775,00000000,0,11327
20180201,11381.00,54,3027871853,00000000,0,11381
20180202,11396.00,15,3052180278,00000000,0,11396
20180205,11200.00,-196,3028270332,00000000,0,11200
20180206,10651.00,-549,2903918047,00000000,0,10651
20180207,10880.00,229,2965349493,00000000,0,10880
20180208,10824.00,-56,2917929170,00000000,0,10824
20180209,10375.00,-449,2828961124,00000000,0,10375
20180213,10662.00,287,2935078757,00000000,0,10662
20180214,10604.00,-58,2939895483,00000000,0,10604
20180215,10650.00,46,2997699113,00000000,0,10650
20180216,10723.00,73,3040580683,00000000,0,10723
20180219,10728.00,5,3080851215,00000000,0,10728
20180220,10779.00,51,3128298804,00000000,0,10779
20180221,10790.00,11,3131464517,00000000,0,10790
20180222,10729.00,-61,3177777506,00000000,0,10729
20180223,10692.00,-37,3191413550,00000000,0,10692
20180226,10853.00,161,3250621271,00000000,0,10853
20180227,10975.00,122,3302440460,00000000,0,10975
20180228,10889.00,-86,3300609052,00000000,0,10889
20180301,10705.00,-184,3283017980,00000000,0,10705
20180302,10519.00,-186,3242462603,00000000,0,10519
20180305,10501.00,-18,3270175061,00000000,0,10501
20180306,10685.00,184,3340039044,00000000,0,10685
20180307,10652.00,-33,3355902693,00000000,0,10652
20180308,10698.00,46,3386208585,00000000,0,10698
20180309,10810.00,112,3440981379,00000000,0,10810
20180312,11019.00,209,3521188479,00000000,0,11019
20180313,10946.00,-73,3517729640,00000000,0,10946
20180314,10911.00,-35,3533735790,00000000,0,10911
20180315,10784.00,-127,3498115415,00000000,0,10784
20180316,10801.00,17,3515724906,00000000,0,10801
20180319,10782.00,-19,3528864322,00000000,0,10782
20180320,10651.00,-131,3493792267,00000000,0,10651
20180322,10598.00,-53,3509435311,00000000,0,10598
20180323,10262.00,-336,3418393969,00000000,0,10262
20180326,10054.00,-208,3365337352,00000000,0,10054
20180327,10384.00,330,3501744056,00000000,0,10384
20180328,10196.00,-188,3523753282,00000000,0,10196
20180329,10301.00,105,3579425086,00000000,0,10301
20180330,10381.00,80,3630591875,00000000,0,10381
20180402,10387.00,6,3666924385,00000000,0,10387
20180403,10107.00,-280,3568243983,00000000,0,10107
20180404,10305.00,198,3707467391,00000000,0,10305
20180405,10454.00,149,3775829484,00000000,0,10454
20180406,10564.00,110,3824851571,00000000,0,10564
20180409,10299.00,-265,3754833479,00000000,0,10299
20180410,10326.00,27,3785558951,00000000,0,10326
20180411,10532.00,206,3883857729,00000000,0,10532
20180412,10455.00,-77,3876542282,00000000,0,10455
20180413,10593.00,138,3961724259,00000000,0,10593
20180416,10571.00,-22,3968897698,00000000,0,10571
20180417,10616.00,45,3991776006,00000000,0,10616
20180418,10741.00,125,4068688876,00000000,0,10741
20180419,10778.00,37,4102130421,00000000,0,10778
20180420,10716.00,-62,4089482497,00000000,0,10716
20180423,10661.00,-55,4068352548,00000000,0,10661
20180424,10752.00,91,4118242592,00000000,0,10752
20180425,10621.00,-131,4085645782,00000000,0,10621
20180426,10694.00,73,4128301891,00000000,0,10694
20180427,10798.00,104,4213838583,00000000,0,10798
20180501,10722.00,-76,4201987169,00000000,0,10722
20180502,10800.00,78,4244124367,00000000,0,10800
20180507,10746.00,-54,4280638241,00000000,0,10746
20180508,10778.00,32,4315645401,00000000,0,10778
20180509,10815.00,37,4359868588,00000000,0,10815
20180510,10988.00,173,4440974537,00000000,0,10988
20180511,11044.00,56,4473568513,00000000,0,11044
20180514,11048.00,4,4491792798,00000000,0,11048
20180515,11103.00,55,4520275011,00000000,0,11103
20180516,11085.00,-18,4554505357,00000000,0,11085
20180517,11135.00,50,4605325205,00000000,0,11135
20180518,11190.00,55,4637723317,00000000,0,11190
20180521,11176.00,-14,4644566572,00000000,0,11176
20180522,11244.00,68,4696199521,00000000,0,11244
20180523,11203.00,-41,4710459004,00000000,0,11203
20180524,11116.00,-87,4696329652,00000000,0,11116
20180525,11084.00,-32,4658690141,00000000,0,11084
20180528,11051.00,-33,4653417795,00000000,0,11051
