éOïHÇtÇeÇi èÉã‡ÉtÉ@ÉìÉh
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2011/02/07,10000,10000,,3.46
2011/02/08,10027,10027,,3.53
2011/02/09,10108,10108,,3.76
2011/02/10,10108,10108,,3.84
2011/02/14,10148,10148,,3.92
2011/02/15,10230,10230,,4.05
2011/02/16,10380,10380,,4.12
2011/02/17,10394,10394,,4.15
2011/02/18,10380,10380,,4.27
2011/02/21,10420,10420,,4.36
2011/02/22,10475,10475,,4.65
2011/02/23,10420,10420,,4.79
2011/02/24,10447,10447,,5.05
2011/02/25,10391,10391,,5.34
2011/02/28,10405,10405,,5.52
2011/03/01,10432,10432,,6.00
2011/03/02,10569,10569,,6.29
2011/03/03,10541,10541,,6.53
2011/03/04,10486,10486,,6.94
2011/03/07,10609,10609,,7.13
2011/03/08,10623,10623,,7.23
2011/03/09,10623,10623,,7.33
2011/03/10,10650,10650,,7.51
2011/03/11,10526,10526,,7.73
2011/03/14,10523,10523,,8.05
2011/03/15,10358,10358,,8.00
2011/03/16,10165,10165,,8.05
2011/03/17,10037,10037,,8.89
2011/03/18,10515,10515,,9.35
2011/03/22,10515,10515,,9.51
2011/03/23,10473,10473,,9.61
2011/03/24,10569,10569,,9.82
2011/03/25,10514,10514,,9.74
2011/03/28,10568,10568,,10.00
2011/03/29,10499,10499,,10.03
2011/03/30,10609,10609,,10.15
2011/03/31,10691,10691,,10.24
2011/04/01,10828,10828,,10.39
2011/04/04,10896,10896,,10.53
2011/04/05,10992,10992,,10.57
2011/04/06,11238,11238,,10.68
2011/04/07,11237,11237,,10.49
2011/04/08,11333,11333,,10.49
2011/04/11,11332,11332,,10.49
2011/04/12,11071,11071,,10.18
2011/04/13,11098,11098,,10.09
2011/04/14,11044,11044,,10.09
2011/04/15,11140,11140,,10.12
2011/04/18,11153,11153,,10.07
2011/04/19,11098,11098,,10.03
2011/04/20,11263,11263,,10.11
2011/04/21,11194,11194,,9.92
2011/04/22,11139,11139,,9.86
2011/04/25,11248,11248,,9.99
